,tweet_text,label,cleaned_tweet,tokens,stopwords_tokens,stemmed_tokens,lemmatized_tokens
149,"Mom and I are vaccinated!! 

Dose 1 of #Moderna done. Thank you @Fraserhealth for the vaccine rollout for #Immunocompromised - I'm so grateful.

Cold shoulder tops were made for getting vaccines. 

#COVID19BC #COVID19Vaccine #COVIDvaccine #Covid? https://t.co/FVNjndPeju",1,"mom and i are vaccinated 

dose  of  done thank you  for the vaccine rollout for   im so grateful

cold shoulder tops were made for getting vaccines 

    ","['mom', 'and', 'i', 'are', 'vaccinated', 'dose', 'of', 'done', 'thank', 'you', 'for', 'the', 'vaccine', 'rollout', 'for', 'im', 'so', 'grateful', 'cold', 'shoulder', 'tops', 'were', 'made', 'for', 'getting', 'vaccines']","['mom', 'vaccinated', 'dose', 'done', 'thank', 'vaccine', 'rollout', 'im', 'grateful', 'cold', 'shoulder', 'tops', 'made', 'getting', 'vaccines']","['mom', 'vaccin', 'dose', 'done', 'thank', 'vaccin', 'rollout', 'im', 'grate', 'cold', 'shoulder', 'top', 'made', 'get', 'vaccin']","['mom', 'vaccinated', 'dose', 'done', 'thank', 'vaccine', 'rollout', 'im', 'grateful', 'cold', 'shoulder', 'top', 'made', 'getting', 'vaccine']"
150,"#BREAKING: #Serbia starts #SputnikV production! 

RDIF &amp; Institute of Virology, Vaccines and Sera EETorlakEE join forces to bring more Sputnik V vaccines to the world!  https://t.co/kpDxTz5D3l",1,"  starts  production 

rdif amp institute of virology vaccines and sera eetorlakee join forces to bring more sputnik v vaccines to the world  ","['starts', 'production', 'rdif', 'amp', 'institute', 'of', 'virology', 'vaccines', 'and', 'sera', 'eetorlakee', 'join', 'forces', 'to', 'bring', 'more', 'sputnik', 'v', 'vaccines', 'to', 'the', 'world']","['starts', 'production', 'rdif', 'amp', 'institute', 'virology', 'vaccines', 'sera', 'eetorlakee', 'join', 'forces', 'bring', 'sputnik', 'v', 'vaccines', 'world']","['start', 'product', 'rdif', 'amp', 'institut', 'virolog', 'vaccin', 'sera', 'eetorlake', 'join', 'forc', 'bring', 'sputnik', 'v', 'vaccin', 'world']","['start', 'production', 'rdif', 'amp', 'institute', 'virology', 'vaccine', 'serum', 'eetorlakee', 'join', 'force', 'bring', 'sputnik', 'v', 'vaccine', 'world']"
151,"A week tomorrow my son received his 2nd vaccine, still has a sore arm, temp is gone and body aches are slowly disappearing, he said the aches were the worst. ##Moderna",0,a week tomorrow my son received his nd vaccine still has a sore arm temp is gone and body aches are slowly disappearing he said the aches were the worst ,"['a', 'week', 'tomorrow', 'my', 'son', 'received', 'his', 'nd', 'vaccine', 'still', 'has', 'a', 'sore', 'arm', 'temp', 'is', 'gone', 'and', 'body', 'aches', 'are', 'slowly', 'disappearing', 'he', 'said', 'the', 'aches', 'were', 'the', 'worst']","['week', 'tomorrow', 'son', 'received', 'nd', 'vaccine', 'still', 'sore', 'arm', 'temp', 'gone', 'body', 'aches', 'slowly', 'disappearing', 'said', 'aches', 'worst']","['week', 'tomorrow', 'son', 'receiv', 'nd', 'vaccin', 'still', 'sore', 'arm', 'temp', 'gone', 'bodi', 'ach', 'slowli', 'disappear', 'said', 'ach', 'worst']","['week', 'tomorrow', 'son', 'received', 'nd', 'vaccine', 'still', 'sore', 'arm', 'temp', 'gone', 'body', 'ache', 'slowly', 'disappearing', 'said', 'ache', 'worst']"
152,"@talkRADIO @thejamesmax @PaulJKavanagh1 @edgreav @PPaulCharles @JamieWoodMedia 40 people with a blood clot, out of how many have had the Oxford jab? There's a risk in everything. My Mum has had the Oxford jab, she's 79 and is ok with it.

#OxfordAstraZeneca
#oxfordvaccine
#BorisJohnson
AstraZeneca",1,"       people with a blood clot out of how many have had the oxford jab theres a risk in everything my mum has had the oxford jab shes  and is ok with it




astrazeneca","['people', 'with', 'a', 'blood', 'clot', 'out', 'of', 'how', 'many', 'have', 'had', 'the', 'oxford', 'jab', 'theres', 'a', 'risk', 'in', 'everything', 'my', 'mum', 'has', 'had', 'the', 'oxford', 'jab', 'shes', 'and', 'is', 'ok', 'with', 'it', 'astrazeneca']","['people', 'blood', 'clot', 'many', 'oxford', 'jab', 'theres', 'risk', 'everything', 'mum', 'oxford', 'jab', 'shes', 'ok', 'astrazeneca']","['peopl', 'blood', 'clot', 'mani', 'oxford', 'jab', 'there', 'risk', 'everyth', 'mum', 'oxford', 'jab', 'she', 'ok', 'astrazeneca']","['people', 'blood', 'clot', 'many', 'oxford', 'jab', 'there', 'risk', 'everything', 'mum', 'oxford', 'jab', 'shes', 'ok', 'astrazeneca']"
153,I am so happy I got my second #Moderna #COVID19 #vaccination over a month ago! #GetVaccinated https://t.co/K1Rbeu7uJm,1,i am so happy i got my second    over a month ago  ,"['i', 'am', 'so', 'happy', 'i', 'got', 'my', 'second', 'over', 'a', 'month', 'ago']","['happy', 'got', 'second', 'month', 'ago']","['happi', 'got', 'second', 'month', 'ago']","['happy', 'got', 'second', 'month', 'ago']"
154,"And while we're at the topic of transparency, when would @BharatBiotech's #Covaxin phase 3 trial data appear in peer review publication. It may be on its way, it may be getting peer reviewed as I write this tweet.
But @BharatBiotech's total silence about it is not comforting.",0,"and while were at the topic of transparency when would s  phase  trial data appear in peer review publication it may be on its way it may be getting peer reviewed as i write this tweet
but s total silence about it is not comforting","['and', 'while', 'were', 'at', 'the', 'topic', 'of', 'transparency', 'when', 'would', 's', 'phase', 'trial', 'data', 'appear', 'in', 'peer', 'review', 'publication', 'it', 'may', 'be', 'on', 'its', 'way', 'it', 'may', 'be', 'getting', 'peer', 'reviewed', 'as', 'i', 'write', 'this', 'tweet', 'but', 's', 'total', 'silence', 'about', 'it', 'is', 'not', 'comforting']","['topic', 'transparency', 'would', 'phase', 'trial', 'data', 'appear', 'peer', 'review', 'publication', 'may', 'way', 'may', 'getting', 'peer', 'reviewed', 'write', 'tweet', 'total', 'silence', 'comforting']","['topic', 'transpar', 'would', 'phase', 'trial', 'data', 'appear', 'peer', 'review', 'public', 'may', 'way', 'may', 'get', 'peer', 'review', 'write', 'tweet', 'total', 'silenc', 'comfort']","['topic', 'transparency', 'would', 'phase', 'trial', 'data', 'appear', 'peer', 'review', 'publication', 'may', 'way', 'may', 'getting', 'peer', 'reviewed', 'write', 'tweet', 'total', 'silence', 'comforting']"
155,"Covid-19: Norway investigates 23 deaths in frail elderly patients after vaccination #PfizerBioNTech #COVID19 
https://t.co/tZHbFzbSsp",0,"covid norway investigates  deaths in frail elderly patients after vaccination   
","['covid', 'norway', 'investigates', 'deaths', 'in', 'frail', 'elderly', 'patients', 'after', 'vaccination']","['covid', 'norway', 'investigates', 'deaths', 'frail', 'elderly', 'patients', 'vaccination']","['covid', 'norway', 'investig', 'death', 'frail', 'elderli', 'patient', 'vaccin']","['covid', 'norway', 'investigates', 'death', 'frail', 'elderly', 'patient', 'vaccination']"
156,"A new lab study shows troubling signs that #Pfizer's and #Moderna's #COVID19 shots could be far less effective against the variant first found in South Africa 

https://t.co/2UjnXdXxq4 https://t.co/aRuhnn4GTx",0,"a new lab study shows troubling signs that  and   shots could be far less effective against the variant first found in south africa 

 ","['a', 'new', 'lab', 'study', 'shows', 'troubling', 'signs', 'that', 'and', 'shots', 'could', 'be', 'far', 'less', 'effective', 'against', 'the', 'variant', 'first', 'found', 'in', 'south', 'africa']","['new', 'lab', 'study', 'shows', 'troubling', 'signs', 'shots', 'could', 'far', 'less', 'effective', 'variant', 'first', 'found', 'south', 'africa']","['new', 'lab', 'studi', 'show', 'troubl', 'sign', 'shot', 'could', 'far', 'less', 'effect', 'variant', 'first', 'found', 'south', 'africa']","['new', 'lab', 'study', 'show', 'troubling', 'sign', 'shot', 'could', 'far', 'le', 'effective', 'variant', 'first', 'found', 'south', 'africa']"
157,"@SteveZwitter Experts say Pfizer vaccine needs to be stored under very very cold conditions. &amp; we lack such storing technology. And cd be very expensive, thus the nd for help from ""all weather friends"" @MoHCCZim @PedzisaiRuhanya @sentinelzim #COVID #vaccine #Zimbabwe #Moderna #Africa #263Chat",0, experts say pfizer vaccine needs to be stored under very very cold conditions amp we lack such storing technology and cd be very expensive thus the nd for help from all weather friends         ,"['experts', 'say', 'pfizer', 'vaccine', 'needs', 'to', 'be', 'stored', 'under', 'very', 'very', 'cold', 'conditions', 'amp', 'we', 'lack', 'such', 'storing', 'technology', 'and', 'cd', 'be', 'very', 'expensive', 'thus', 'the', 'nd', 'for', 'help', 'from', 'all', 'weather', 'friends']","['experts', 'say', 'pfizer', 'vaccine', 'needs', 'stored', 'cold', 'conditions', 'amp', 'lack', 'storing', 'technology', 'cd', 'expensive', 'thus', 'nd', 'help', 'weather', 'friends']","['expert', 'say', 'pfizer', 'vaccin', 'need', 'store', 'cold', 'condit', 'amp', 'lack', 'store', 'technolog', 'cd', 'expens', 'thu', 'nd', 'help', 'weather', 'friend']","['expert', 'say', 'pfizer', 'vaccine', 'need', 'stored', 'cold', 'condition', 'amp', 'lack', 'storing', 'technology', 'cd', 'expensive', 'thus', 'nd', 'help', 'weather', 'friend']"
158,"@MeghanaSastry @XpressBengaluru @santwana99 As 23 elderly people died in #Norway after receiving #PfizerBioNTech #Covid19 vaccine, experts in India have underlined the need to closely monitor adverse events as a massive #COVID19Vaccination drive kicked off in the country.
@SumiSukanya @gsvasu_TNIE 
https://t.co/e13PBYPYhG",0,"   as  elderly people died in  after receiving   vaccine experts in india have underlined the need to closely monitor adverse events as a massive  drive kicked off in the country
  
","['as', 'elderly', 'people', 'died', 'in', 'after', 'receiving', 'vaccine', 'experts', 'in', 'india', 'have', 'underlined', 'the', 'need', 'to', 'closely', 'monitor', 'adverse', 'events', 'as', 'a', 'massive', 'drive', 'kicked', 'off', 'in', 'the', 'country']","['elderly', 'people', 'died', 'receiving', 'vaccine', 'experts', 'india', 'underlined', 'need', 'closely', 'monitor', 'adverse', 'events', 'massive', 'drive', 'kicked', 'country']","['elderli', 'peopl', 'die', 'receiv', 'vaccin', 'expert', 'india', 'underlin', 'need', 'close', 'monitor', 'advers', 'event', 'massiv', 'drive', 'kick', 'countri']","['elderly', 'people', 'died', 'receiving', 'vaccine', 'expert', 'india', 'underlined', 'need', 'closely', 'monitor', 'adverse', 'event', 'massive', 'drive', 'kicked', 'country']"
159,"Vaccine associated selfie disorder (VASD) ??????????
#covidstache #n95stache ? #PfizerBioNTech ? ? https://t.co/WhJPHVoKDl",0,"vaccine associated selfie disorder vasd 
      ","['vaccine', 'associated', 'selfie', 'disorder', 'vasd']","['vaccine', 'associated', 'selfie', 'disorder', 'vasd']","['vaccin', 'associ', 'selfi', 'disord', 'vasd']","['vaccine', 'associated', 'selfie', 'disorder', 'vasd']"
160,"A fifth COVID-19 vaccine has been approved in Pakistan: ChinaEEs Sinovac shot called CoronaVac. It has an efficacy of 50.7%.
#coronavac #Sinovac 
https://t.co/dMexuKRZlZ",0,"a fifth covid vaccine has been approved in pakistan chinaees sinovac shot called coronavac it has an efficacy of 
  
","['a', 'fifth', 'covid', 'vaccine', 'has', 'been', 'approved', 'in', 'pakistan', 'chinaees', 'sinovac', 'shot', 'called', 'coronavac', 'it', 'has', 'an', 'efficacy', 'of']","['fifth', 'covid', 'vaccine', 'approved', 'pakistan', 'chinaees', 'sinovac', 'shot', 'called', 'coronavac', 'efficacy']","['fifth', 'covid', 'vaccin', 'approv', 'pakistan', 'chinae', 'sinovac', 'shot', 'call', 'coronavac', 'efficaci']","['fifth', 'covid', 'vaccine', 'approved', 'pakistan', 'chinaees', 'sinovac', 'shot', 'called', 'coronavac', 'efficacy']"
161,"Hello my dear FINTWIT family, I got my Covid19 Vaccine first dose today. ? #Moderna 

Who all are invested in $MRNA ? ?",1,"hello my dear fintwit family i got my covid vaccine first dose today   

who all are invested in mrna  ","['hello', 'my', 'dear', 'fintwit', 'family', 'i', 'got', 'my', 'covid', 'vaccine', 'first', 'dose', 'today', 'who', 'all', 'are', 'invested', 'in', 'mrna']","['hello', 'dear', 'fintwit', 'family', 'got', 'covid', 'vaccine', 'first', 'dose', 'today', 'invested', 'mrna']","['hello', 'dear', 'fintwit', 'famili', 'got', 'covid', 'vaccin', 'first', 'dose', 'today', 'invest', 'mrna']","['hello', 'dear', 'fintwit', 'family', 'got', 'covid', 'vaccine', 'first', 'dose', 'today', 'invested', 'mrna']"
162,2nd shot in and done! ? Looking forward to getting back to normal ? #moderna #covidvacccine #science #WeAreRacers @ CFSB Center https://t.co/Khku21JBAe,1,nd shot in and done  looking forward to getting back to normal       cfsb center ,"['nd', 'shot', 'in', 'and', 'done', 'looking', 'forward', 'to', 'getting', 'back', 'to', 'normal', 'cfsb', 'center']","['nd', 'shot', 'done', 'looking', 'forward', 'getting', 'back', 'normal', 'cfsb', 'center']","['nd', 'shot', 'done', 'look', 'forward', 'get', 'back', 'normal', 'cfsb', 'center']","['nd', 'shot', 'done', 'looking', 'forward', 'getting', 'back', 'normal', 'cfsb', 'center']"
163,"@CTVNews While 24 Countries Have Suspended AstraZeneca vaccine, Embarrassing Justin #Trudeau and Doug Ford says Ontario Canada has determined AstraZeneca is 'safe and effective #cdnpoli Get out of #Syria #COVID19 #Jesus Order Russia #SputnikV end Toronto #lockdown https://t.co/3b4SogZ57E",0, while  countries have suspended astrazeneca vaccine embarrassing justin  and doug ford says ontario canada has determined astrazeneca is safe and effective  get out of    order russia  end toronto  ,"['while', 'countries', 'have', 'suspended', 'astrazeneca', 'vaccine', 'embarrassing', 'justin', 'and', 'doug', 'ford', 'says', 'ontario', 'canada', 'has', 'determined', 'astrazeneca', 'is', 'safe', 'and', 'effective', 'get', 'out', 'of', 'order', 'russia', 'end', 'toronto']","['countries', 'suspended', 'astrazeneca', 'vaccine', 'embarrassing', 'justin', 'doug', 'ford', 'says', 'ontario', 'canada', 'determined', 'astrazeneca', 'safe', 'effective', 'get', 'order', 'russia', 'end', 'toronto']","['countri', 'suspend', 'astrazeneca', 'vaccin', 'embarrass', 'justin', 'doug', 'ford', 'say', 'ontario', 'canada', 'determin', 'astrazeneca', 'safe', 'effect', 'get', 'order', 'russia', 'end', 'toronto']","['country', 'suspended', 'astrazeneca', 'vaccine', 'embarrassing', 'justin', 'doug', 'ford', 'say', 'ontario', 'canada', 'determined', 'astrazeneca', 'safe', 'effective', 'get', 'order', 'russia', 'end', 'toronto']"
164,"@MarytheRobot @ash_expert @Ultra_Calls @thatstocksgirl @MuzLM_Trader @The_RockTrading @jimcramer @S_AnglinIV @investorr1989 @Ocugen @InvestorPlace @yatesinvesting And the facts remain: 
#covaxin is being used in India RIGHT NOW
#covaxin has NO phase 3 trial data 
#covaxing phase 3 data is expected in march 
#covaxin remains steeped in controversy in its home country because the govt approved EUA w/o any phase 3 trial data",0,"            and the facts remain 
 is being used in india right now
 has no phase  trial data 
 phase  data is expected in march 
 remains steeped in controversy in its home country because the govt approved eua wo any phase  trial data","['and', 'the', 'facts', 'remain', 'is', 'being', 'used', 'in', 'india', 'right', 'now', 'has', 'no', 'phase', 'trial', 'data', 'phase', 'data', 'is', 'expected', 'in', 'march', 'remains', 'steeped', 'in', 'controversy', 'in', 'its', 'home', 'country', 'because', 'the', 'govt', 'approved', 'eua', 'wo', 'any', 'phase', 'trial', 'data']","['facts', 'remain', 'used', 'india', 'right', 'phase', 'trial', 'data', 'phase', 'data', 'expected', 'march', 'remains', 'steeped', 'controversy', 'home', 'country', 'govt', 'approved', 'eua', 'wo', 'phase', 'trial', 'data']","['fact', 'remain', 'use', 'india', 'right', 'phase', 'trial', 'data', 'phase', 'data', 'expect', 'march', 'remain', 'steep', 'controversi', 'home', 'countri', 'govt', 'approv', 'eua', 'wo', 'phase', 'trial', 'data']","['fact', 'remain', 'used', 'india', 'right', 'phase', 'trial', 'data', 'phase', 'data', 'expected', 'march', 'remains', 'steeped', 'controversy', 'home', 'country', 'govt', 'approved', 'eua', 'wo', 'phase', 'trial', 'data']"
165,"Got my vaccine today and IEEm feeling ok ?? 
Ready to see how Day 2 goes  #PfizerBioNtech 
#Pfizer #CovidVaccine",1,"got my vaccine today and ieem feeling ok  
ready to see how day  goes   
 ","['got', 'my', 'vaccine', 'today', 'and', 'ieem', 'feeling', 'ok', 'ready', 'to', 'see', 'how', 'day', 'goes']","['got', 'vaccine', 'today', 'ieem', 'feeling', 'ok', 'ready', 'see', 'day', 'goes']","['got', 'vaccin', 'today', 'ieem', 'feel', 'ok', 'readi', 'see', 'day', 'goe']","['got', 'vaccine', 'today', 'ieem', 'feeling', 'ok', 'ready', 'see', 'day', 'go']"
166,"a #covid vaccine centre in #hk had significant no-show after news broke that one man died after getting the #sinovac vaccine:
https://t.co/ntX2xAUMsV",0,"a  vaccine centre in  had significant noshow after news broke that one man died after getting the  vaccine
","['a', 'vaccine', 'centre', 'in', 'had', 'significant', 'noshow', 'after', 'news', 'broke', 'that', 'one', 'man', 'died', 'after', 'getting', 'the', 'vaccine']","['vaccine', 'centre', 'significant', 'noshow', 'news', 'broke', 'one', 'man', 'died', 'getting', 'vaccine']","['vaccin', 'centr', 'signific', 'noshow', 'news', 'broke', 'one', 'man', 'die', 'get', 'vaccin']","['vaccine', 'centre', 'significant', 'noshow', 'news', 'broke', 'one', 'man', 'died', 'getting', 'vaccine']"
167,"My mum has just come back from the @NHSLouisaJordan where she got her first dose of the #PfizerBiontech Covid vaccine. IEEm so, so happy for her?? https://t.co/cONjW57Xls",1,my mum has just come back from the  where she got her first dose of the  covid vaccine ieem so so happy for her ,"['my', 'mum', 'has', 'just', 'come', 'back', 'from', 'the', 'where', 'she', 'got', 'her', 'first', 'dose', 'of', 'the', 'covid', 'vaccine', 'ieem', 'so', 'so', 'happy', 'for', 'her']","['mum', 'come', 'back', 'got', 'first', 'dose', 'covid', 'vaccine', 'ieem', 'happy']","['mum', 'come', 'back', 'got', 'first', 'dose', 'covid', 'vaccin', 'ieem', 'happi']","['mum', 'come', 'back', 'got', 'first', 'dose', 'covid', 'vaccine', 'ieem', 'happy']"
168,"Vaccine update: my arm is sore as fuck. A little nausea, sore shoulders, neck and head. We'll see what tomorrow brings.
#moderna",0,"vaccine update my arm is sore as fuck a little nausea sore shoulders neck and head well see what tomorrow brings
","['vaccine', 'update', 'my', 'arm', 'is', 'sore', 'as', 'fuck', 'a', 'little', 'nausea', 'sore', 'shoulders', 'neck', 'and', 'head', 'well', 'see', 'what', 'tomorrow', 'brings']","['vaccine', 'update', 'arm', 'sore', 'fuck', 'little', 'nausea', 'sore', 'shoulders', 'neck', 'head', 'well', 'see', 'tomorrow', 'brings']","['vaccin', 'updat', 'arm', 'sore', 'fuck', 'littl', 'nausea', 'sore', 'shoulder', 'neck', 'head', 'well', 'see', 'tomorrow', 'bring']","['vaccine', 'update', 'arm', 'sore', 'fuck', 'little', 'nausea', 'sore', 'shoulder', 'neck', 'head', 'well', 'see', 'tomorrow', 'brings']"
169,"The #UK #medicalr #regulator has abruptly changed its #guidance over use of the #oxfordastrazeneca #vaccine, warning that people aged 18-29 should be offered alternative jabs. https://t.co/XWZNUtrHZF",0,the    has abruptly changed its  over use of the   warning that people aged  should be offered alternative jabs ,"['the', 'has', 'abruptly', 'changed', 'its', 'over', 'use', 'of', 'the', 'warning', 'that', 'people', 'aged', 'should', 'be', 'offered', 'alternative', 'jabs']","['abruptly', 'changed', 'use', 'warning', 'people', 'aged', 'offered', 'alternative', 'jabs']","['abruptli', 'chang', 'use', 'warn', 'peopl', 'age', 'offer', 'altern', 'jab']","['abruptly', 'changed', 'use', 'warning', 'people', 'aged', 'offered', 'alternative', 'jab']"
170,@Rick_Pescatore 2nd #Moderna scheduled for Thursday!! Happy to get in line!,1, nd  scheduled for thursday happy to get in line,"['nd', 'scheduled', 'for', 'thursday', 'happy', 'to', 'get', 'in', 'line']","['nd', 'scheduled', 'thursday', 'happy', 'get', 'line']","['nd', 'schedul', 'thursday', 'happi', 'get', 'line']","['nd', 'scheduled', 'thursday', 'happy', 'get', 'line']"
171,Vaccinated #Moderna ????,1,vaccinated  ,['vaccinated'],['vaccinated'],['vaccin'],['vaccinated']
172,"$OCGN I canEEt wait for this vaccine to be available in the US. #Covaxin #COVID19 

https://t.co/RcC1SegkmP",1,"ocgn i caneet wait for this vaccine to be available in the us   

","['ocgn', 'i', 'caneet', 'wait', 'for', 'this', 'vaccine', 'to', 'be', 'available', 'in', 'the', 'us']","['ocgn', 'caneet', 'wait', 'vaccine', 'available', 'us']","['ocgn', 'caneet', 'wait', 'vaccin', 'avail', 'us']","['ocgn', 'caneet', 'wait', 'vaccine', 'available', 'u']"
173,@ReutersUK SAFETY FIRST #vaccineswork #safevaccines #EUleaders #vonderleyen #EUCommissioner #EUCommission #Brussels #euparliament #AngelaMerkel #EmmanuelMacron healthforall #eu27 ?? led ? to #PfizerBioNTech #Pfizer. #ukparliament #ukgovernment #brexit WHO @DrTedros https://t.co/uuEKcbM5RD,1, safety first           healthforall   led  to      who  ,"['safety', 'first', 'healthforall', 'led', 'to', 'who']","['safety', 'first', 'healthforall', 'led']","['safeti', 'first', 'healthforal', 'led']","['safety', 'first', 'healthforall', 'led']"
174,"#SputnikV welcomes J&amp;J vaccine approval in the US. This is also another validation of Sputnik V pioneering technology as J&amp;J vaccine is essentially a first shot of Sputnik V vaccine (Ad26 - human adenoviral vector 26).
?
https://t.co/eT8w9LwozG",1," welcomes jampj vaccine approval in the us this is also another validation of sputnik v pioneering technology as jampj vaccine is essentially a first shot of sputnik v vaccine ad  human adenoviral vector 

","['welcomes', 'jampj', 'vaccine', 'approval', 'in', 'the', 'us', 'this', 'is', 'also', 'another', 'validation', 'of', 'sputnik', 'v', 'pioneering', 'technology', 'as', 'jampj', 'vaccine', 'is', 'essentially', 'a', 'first', 'shot', 'of', 'sputnik', 'v', 'vaccine', 'ad', 'human', 'adenoviral', 'vector']","['welcomes', 'jampj', 'vaccine', 'approval', 'us', 'also', 'another', 'validation', 'sputnik', 'v', 'pioneering', 'technology', 'jampj', 'vaccine', 'essentially', 'first', 'shot', 'sputnik', 'v', 'vaccine', 'ad', 'human', 'adenoviral', 'vector']","['welcom', 'jampj', 'vaccin', 'approv', 'us', 'also', 'anoth', 'valid', 'sputnik', 'v', 'pioneer', 'technolog', 'jampj', 'vaccin', 'essenti', 'first', 'shot', 'sputnik', 'v', 'vaccin', 'ad', 'human', 'adenovir', 'vector']","['welcome', 'jampj', 'vaccine', 'approval', 'u', 'also', 'another', 'validation', 'sputnik', 'v', 'pioneering', 'technology', 'jampj', 'vaccine', 'essentially', 'first', 'shot', 'sputnik', 'v', 'vaccine', 'ad', 'human', 'adenoviral', 'vector']"
175,@WHCOS Got my second one today. #Moderna ??,1, got my second one today  ,"['got', 'my', 'second', 'one', 'today']","['got', 'second', 'one', 'today']","['got', 'second', 'one', 'today']","['got', 'second', 'one', 'today']"
176,"Had the A-Z vaccine on Saturday, totally wiped out on Sunday and now, with all children back in school, every where is so sore and arm is painful! Any one had the same? #vaccine #oxfordastrazeneca",0,had the az vaccine on saturday totally wiped out on sunday and now with all children back in school every where is so sore and arm is painful any one had the same  ,"['had', 'the', 'az', 'vaccine', 'on', 'saturday', 'totally', 'wiped', 'out', 'on', 'sunday', 'and', 'now', 'with', 'all', 'children', 'back', 'in', 'school', 'every', 'where', 'is', 'so', 'sore', 'and', 'arm', 'is', 'painful', 'any', 'one', 'had', 'the', 'same']","['az', 'vaccine', 'saturday', 'totally', 'wiped', 'sunday', 'children', 'back', 'school', 'every', 'sore', 'arm', 'painful', 'one']","['az', 'vaccin', 'saturday', 'total', 'wipe', 'sunday', 'children', 'back', 'school', 'everi', 'sore', 'arm', 'pain', 'one']","['az', 'vaccine', 'saturday', 'totally', 'wiped', 'sunday', 'child', 'back', 'school', 'every', 'sore', 'arm', 'painful', 'one']"
177,"@guida_jacques @PeterbobBaze Vaccines all inefficient on circulating South African variants.
source : https://t.co/pYSkn2mQDS
Ivermectin in global people preventive treatement would be best and cheap.
source : https://t.co/QG3fAbxec5
#VaccinationCovid19   #Pfizer  #Moderna #AstraZeneca",0,"  vaccines all inefficient on circulating south african variants
source  
ivermectin in global people preventive treatement would be best and cheap
source  
      ","['vaccines', 'all', 'inefficient', 'on', 'circulating', 'south', 'african', 'variants', 'source', 'ivermectin', 'in', 'global', 'people', 'preventive', 'treatement', 'would', 'be', 'best', 'and', 'cheap', 'source']","['vaccines', 'inefficient', 'circulating', 'south', 'african', 'variants', 'source', 'ivermectin', 'global', 'people', 'preventive', 'treatement', 'would', 'best', 'cheap', 'source']","['vaccin', 'ineffici', 'circul', 'south', 'african', 'variant', 'sourc', 'ivermectin', 'global', 'peopl', 'prevent', 'treatement', 'would', 'best', 'cheap', 'sourc']","['vaccine', 'inefficient', 'circulating', 'south', 'african', 'variant', 'source', 'ivermectin', 'global', 'people', 'preventive', 'treatement', 'would', 'best', 'cheap', 'source']"
178,"The vaccine has proved 91.6% effective against Covid-19, based on late-stage trials in Russia, results published in the Lancet medical journal showed. 

#SputnikV #Coronavirus #COVID19 #Russia #CoronavirusVaccine

https://t.co/HIAlFNlKuW",1,"the vaccine has proved  effective against covid based on latestage trials in russia results published in the lancet medical journal showed 

    

","['the', 'vaccine', 'has', 'proved', 'effective', 'against', 'covid', 'based', 'on', 'latestage', 'trials', 'in', 'russia', 'results', 'published', 'in', 'the', 'lancet', 'medical', 'journal', 'showed']","['vaccine', 'proved', 'effective', 'covid', 'based', 'latestage', 'trials', 'russia', 'results', 'published', 'lancet', 'medical', 'journal', 'showed']","['vaccin', 'prove', 'effect', 'covid', 'base', 'latestag', 'trial', 'russia', 'result', 'publish', 'lancet', 'medic', 'journal', 'show']","['vaccine', 'proved', 'effective', 'covid', 'based', 'latestage', 'trial', 'russia', 'result', 'published', 'lancet', 'medical', 'journal', 'showed']"
179,"Wow. The Moderna vaccine is now available in the UK! Just on the news that the first patients have been given the jab. 
So now we have 3 available!
#Moderna #Corona #vaccineforall #vaccination",1,"wow the moderna vaccine is now available in the uk just on the news that the first patients have been given the jab 
so now we have  available
   ","['wow', 'the', 'moderna', 'vaccine', 'is', 'now', 'available', 'in', 'the', 'uk', 'just', 'on', 'the', 'news', 'that', 'the', 'first', 'patients', 'have', 'been', 'given', 'the', 'jab', 'so', 'now', 'we', 'have', 'available']","['wow', 'moderna', 'vaccine', 'available', 'uk', 'news', 'first', 'patients', 'given', 'jab', 'available']","['wow', 'moderna', 'vaccin', 'avail', 'uk', 'news', 'first', 'patient', 'given', 'jab', 'avail']","['wow', 'moderna', 'vaccine', 'available', 'uk', 'news', 'first', 'patient', 'given', 'jab', 'available']"
